Объем,Бренд,Цена со скидкой,Цена,Тип вина,Цвет,Сахар,Страна производителя,Регион,Аппелласьон,Производитель,Категория,Бренд / Серия,Сорт винограда,Выдержка в ёмкости,Содержание алкоголя,Количество в упаковке,Температура подачи,Friendly,BiO,Винтаж,Субрегион,Выдержка,Подарочная упаковка0.75,Chateau Pinot,580₽,725₽,Тихое,Красное,Сухое,Россия,Краснодарский край,Кубань. Новороссийск ЗГУ,Chateau Pinot,ЗГУ,Chateau PinotГравитация,Пино нуарСаперави,Стальной чан,13%,6,16-18
0.75,Olymp Winery,607₽,607₽,,Красное,Сухое,Россия,Краснодарский край,,Olymp Winery,,,Красные сорта винограда,,10% - 12%,12,16-18
0.75,Виноградники Гай-Кодзора,1 035₽,1 035₽,Тихое,Красное,Сухое,Россия,Краснодарский край,,Виноградники Гай-Кодзора,,Gai-Kodzor,СираМурведр,Стальной чан,13%,6,16-18
0.75,Piccini,995₽,1 244₽,Тихое,Красное,Полусладкое,Италия,,,Piccini,,,Каберне совиньонМерлоПино нуар,,13%,6,16-18
0.75,Argiano,49 349₽,49 349₽,Тихое,Красное,Сухое,Италия,Тоскана,Brunello di Montalcino DOCG,Argiano,DOCG,Argiano,Санджовезе,Бочка,14.7%,6,16-18
0.75,Vinovalie,2 191₽,2 739₽,Тихое,Розовое,Полусладкое,Франция,Юго-Запад,Cotes du Tarn IGP,Vinovalie,,Piscine,Негрет,Стальной чан,11%,6,8-10
0.75,Cantina Diomede,2 092₽,2 615₽,Тихое,Красное,Полусухое,Италия,Апулия,Puglia IGT,Cantina Diomede,IGT/IGP,Cantina DiomedeLama di Pietra,Неро ди троя,Стальной чан,12.5%,12,16-18
0.75,Umani Ronchi,1 840₽,1 840₽,Тихое,Красное,Сухое,Италия,Абруццо,Montepulciano d'Abruzzo DOC,Umani Ronchi,DOC/DOP,Podere Montepulciano,Монтепульчано,Стальной чан,,6,16-18
0.75,,1 054₽,1 317₽,Тихое,Белое,Сухое,Россия,Краснодарский край,,Абрау-Дюрсо,,Абрау-Дюрсо,Шардоне,Бочка,13%,6,10-12
0.75,Schloss Johannisberg,2 475₽,3 094₽,Тихое,Белое,Полусладкое,Германия,Рейнгау,Rheingau QbA,Schloss Johannisberg,QbA,50-ая Параллель,Рислинг,Стальной чан,,6,8-10
0.75,Take it to the Grave,2 028₽,2 535₽,Тихое,Красное,Сухое,Австралия,Южная Австралия,South Australia GI,Take it to the Grave,GI,,Шираз,Бочка,,6,16-18
0.75,Clos Figueras,12 426₽,15 532₽,Тихое,Красное,Сухое,Испания,Приорат,Priorat DOQ,Clos Figueras,DOQ,Serras del PrioratClos Figueras,ГарначаКариньян,Бочка,15%,6,16-18
0.75,Castel Mimi,713₽,891₽,Тихое,Белое,Сухое,Молдавия,,,Castel Mimi,,,ВиорикаФетяска,Стальной чан,12.5%,6,10-12
0.75,Bodegas Muga,2 808₽,2 808₽,Тихое,Красное,Сухое,Испания,Риоха,Rioja DOCa,Bodegas Muga,DOCa,MugaEl Anden de la Estacion,ТемпранильоГарнача,Бочка,14%,6,14-16
0.75,Antigal,828₽,1 035₽,Тихое,Белое,Сухое,Аргентина,Мендоса,Mendoza,Antigal,,AntigalRed Car,Шардоне,Стальной чан,12.5% - 12.6%,12,10-12
0.75,Chateau Pinot,580₽,725₽,Тихое,Красное,Сухое,Россия,Краснодарский край,Кубань. Новороссийск ЗГУ,Chateau Pinot,ЗГУ,Chateau PinotГравитация,Каберне франКаберне совиньон,Стальной чан,13.5%,6,16-18
0.75,Лефкадия,2 490₽,2 490₽,Тихое,Красное,Сухое,Россия,Краснодарский край,Кубань. Крымск ЗГУ,Лефкадия,ЗГУ,,Каберне фран,Бочка,13.5%,6,16-18
0.75,Angelo Rocca е Figli,983₽,1 229₽,Тихое,Белое,Сухое,Италия,Апулия,Puglia IGT,Angelo Rocca e Figli,IGT/IGP,Angelo Rocca E FigliRocca,Вердека,Стальной чан,12.5%,6,10-12
0.75,Chateau Mukhrani,2 432₽,3 040₽,Тихое,Белое,Сухое,Грузия,Квемо-Картли,,Chateau Mukhrani,,Chateau Mukhrani,Горули мцване,Стальной чан,12.5%,6,10-12
0.75,Catena Zapata,2 880₽,2 880₽,Тихое,Красное,Сухое,Аргентина,Мендоса,Mendoza,Catena Zapata,,Catena Zapata,Каберне совиньонКаберне франПти вердо,Бочка,13.5%,,16-18
0.75,Бурлюк,710₽,887₽,Тихое,Розовое,Полусладкое,Россия,Крым,,Бурлюк,,,Мускат оттонельМускат гамбургский,Стальной чан,10.00% - 12%,6,8-10
0.75,Olymp Winery,429₽,613₽,,Белое,Сухое,Россия,Краснодарский край,,Olymp Winery,,,Цитронный магарача,,10% - 12%,6,10-12
0.75,Albino Armani,2 377₽,2 971₽,Тихое,Белое,Сухое,Италия,Трентино-Альто-Адидже,Trentino DOC,Albino Armani,DOC/DOP,,Гевюрцтраминер,Стальной чан,12.5%,6,10-12
0.75,Ehrmanns Wines,1 059₽,1 324₽,Тихое,Розовое,Сухое,Аргентина,Мендоса,Mendoza,Ehrmanns Wines,,,Мальбек,Стальной чан,12%,6,10-12
0.75,Piccini,1 198₽,1 497₽,Тихое,Красное,Сухое,Италия,,,Piccini,,4 Volte 25,ПримитивоНеро д'аволаМонтепульчаноМерло,Бочка,14%,6,16-18
0.18,Sainte Neige,503₽,629₽,Тихое,Белое,Сладкое,Япония,,,Sainte Neige,,,Виноматериалы плодовые сброженные из плодов юдзуСок юдзу,,7%,24,10-12
0.75,Alma Valley,805₽,1 006₽,Тихое,Белое,Сухое,Россия,Крым,Крым ЗГУ,Alma Valley,ЗГУ,Alma ValleyAV Cuvee,ШардонеПино бланПино гри,Стальной чан,14%,6,8-10
0.75,Dopff & Irion,2 821₽,2 821₽,Тихое,Белое,Сухое,Франция,Эльзас,Alsace AOC,Dopff & Irion,AOC/AOP,,Рислинг,Стальной чан,11.5%,6,8-10
0.75,Catena Zapata,21 277₽,21 277₽,Тихое,Красное,Сухое,Аргентина,Мендоса,Mendoza,Catena Zapata,,Catena Zapata,Мальбек,Бочка,13.5%,6,16-18
0.75,Olymp Winery,502₽,502₽,Тихое,Красное,Полусладкое,Россия,,,Olymp Winery,,,Саперави,,10% - 12%,6,16-18
1,Vino Zupa,646₽,646₽,,Красное,Сухое,Сербия,,,Vino Zupa,,,Вранац,,11%,12,14-16
0.75,Chateau l'Eglise,1 706₽,1 706₽,Тихое,Красное,Сухое,Франция,Бордо,Bordeaux AOC,Chateau l'Eglise,AOC/AOP,Chateau l'Eglise,Каберне совиньонКаберне франМерло,Стальной чан,12.5%,6,16-18
0.75,Шумринка,890₽,890₽,Тихое,Белое,Сухое,Россия,Краснодарский край,Кубань. Анапа ЗГУ,Шумринка,ЗГУ,ШумринкаСемисам,АлиготеМальвазияПино бланРислинг,Стальной чан,12%,6,8-10
