Объем,Бренд,Цена со скидкой,Цена,Тип вина,Цвет,Сахар,Страна производителя,Регион,Аппелласьон,Производитель,Категория,Бренд / Серия,Сорт винограда,Выдержка в ёмкости,Содержание алкоголя,Количество в упаковке,Температура подачи,Friendly,BiO,Винтаж,Субрегион,Выдержка,Подарочная упаковка 0.75,Chateau Pinot,580₽,725₽,Тихое,Красное,Сухое,Россия,Краснодарский край,Кубань. Новороссийск ЗГУ,Chateau Pinot,ЗГУ,Chateau PinotГравитация,Пино нуарСаперави,Стальной чан,13%,6,16-18 
0.75,Виноградники Гай-Кодзора,1 233₽,1 233₽,Тихое,Красное,Сухое,Россия,Краснодарский край,,Виноградники Гай-Кодзора,,,Пино нуар,Бочка,14%,6,16-18,,,,,,
0.187,Olymp Winery,208₽,208₽,,Белое,Сухое,Россия,Краснодарский край,,Olymp Winery,,,Ркацители,,10% - 12%,24,10-12,,,,,,
0.75,Дербент Вино,453₽,823₽,Тихое,Красное,Полусладкое,Россия,Дагестан,Дагестан ЗГУ,Дербент Вино,ЗГУ,,МерлоКаберне совиньонМолдова,,11%,6,14-16,,,2022,,,
0.75,,4 325₽,4 325₽,Тихое,Красное,Сухое,Италия,Тоскана,Toscana IGT,Avignonesi,IGT/IGP,,Каберне совиньонСанджовезеМерло,Бочка,13.5%,12,14-16,Vegan,Biodynamic,2019,,,
0.75,Marziano Abbona,2 094₽,2 618₽,Тихое,Красное,Сухое,Италия,Пьемонт,Dogliani DOCG,Marziano Abbona,DOCG,,Дольчетто,Стальной чан,,6,16-18,,,,,,
0.75,Pascal Prunier-Bonheur,11 002₽,11 002₽,Тихое,Белое,Сухое,Франция,Бургундия,Auxey-Duresses AOC,Pascal Prunier-Bonheur,AOC/AOP,,Шардоне,Бочка,13.5%,12,10-12,,,2020,Кот де Бон,,
0.75,Vinovalie,2 888₽,2 888₽,Тихое,Белое,Сухое,Франция,,Comte Tolosan IGP,Vinovalie,IGT/IGP,,Шардоне,,13%,6,8-10,,,2020,,,
0.75,Kaapzicht,2 495₽,2 495₽,Тихое,Красное,Полусухое,ЮАР,Западный Кейп,Stellenbosch WO,Kaapzicht,WO,,ПинотажМерлоШиразКаберне совиньонМальбекПти вердоКаберне франСенсоГренаш,,14%,6,16-18,,,2020,Коустал Риджн,,
0.75,Bodegas del Saz,718₽,898₽,Тихое,Розовое,Полусладкое,Испания,Кастилия-Ла-Манча,,Bodegas del Saz,,,Темпранильо,Стальной чан,10.00% - 11%,6,10-12,,,,,,
0.75,Loco Cimbali,1 640₽,1 640₽,Тихое,Красное,Сухое,Россия,Крым,Крым ЗГУ,Loco Cimbali,ЗГУ,,Менье,Бочка,12.5%,6,14-16,,,,,,
0.75,Mooiplaas Wine Estate,1 041₽,1 301₽,Тихое,Красное,Сухое,ЮАР,Западный Кейп,Western Cape WO,Mooiplaas Wine Estate,WO,,Мерло,Бочка,14%,6,16-18,,,,,,
0.75,Faustino,1 261₽,1 576₽,Тихое,Розовое,Сухое,Испания,Риоха,Rioja DOCa,Faustino,DOCa,,Темпранильо,Стальной чан,12.5%,6,10-12,,,,,,
0.75,Manuel Costa e Filhos,831₽,1 039₽,Тихое,Розовое,Полусухое,Португалия,Винью Верде,Vinho Verde DOC,Manuel Costa e Filhos,DOC/DOP,,БорракалВиньяуЭшпадейру,Стальной чан,9.5%,6,8-10,,,,,,
0.75,Gaja,53 474₽,53 474₽,Тихое,Красное,Сухое,Италия,Тоскана,Brunello di Montalcino DOCG,Gaja,DOCG,,Санджовезе,Бочка,14.5%,6,16-18,,,2018,,,
0.75,Albino Armani,2 244₽,2 805₽,Тихое,Красное,Сухое,Италия,Венето,Valpolicella DOC,Albino Armani,DOC/DOP,,КорвинаКорвинонеРондинелла,Бочка,13.5%,6,16-18,,,,Вальполичелла,,
0.75,Heinrich Fuchs,2 959₽,2 959₽,Тихое,Белое,Сухое,Австрия,Штирия,Steiermark,Heinrich Fuchs,,,Совиньон блан,,13%,6,8-10,,,2022,,,
0.75,Bellene,14 283₽,14 283₽,Тихое,Белое,Сухое,Франция,Бургундия,Saint-Aubin 1er Cru AOC,Bellene,AOC/AOP,,Шардоне,Бочка,14%,6,10-12,Sustainable,Biodynamic,2019,Сент-Обен,,
0.75,Overhex Wines International,1 890₽,2 363₽,Тихое,Красное,Сухое,ЮАР,Западный Кейп,Stellenbosch WO,Overhex Wines International,WO,Stellenbosch Hills,ШиразКаберне совиньонМерлоПти вердо,Бочка,14.5%,6,16-18,,,,,,
0.75,Тифлисский Винный Погребъ,777₽,972₽,Тихое,Красное,Полусладкое,Грузия,Кахетия,Киндзмараули ЗГУ,Тифлисский Винный Погребъ,,,Саперави,Стальной чан,11%,6,10-12,,,,,,
0.75,Chateau Dereszla,1 714₽,2 142₽,Тихое,Белое,Полусладкое,Венгрия,Токай,,Chateau Dereszla,,Chateau Dereszla,Фурминт,,12.5%,,8-10,,,,,,
0.75,Le Cret de Bine,4 208₽,4 208₽,Тихое,Красное,Сухое,Франция,Бургундия,Beaujolais АОС,Le Cret de Bine,AOC/AOP,,Гаме,Стальной чан,12%,6,14-16,Sustainable,Biodynamic,2021,Божоле,,
0.75,Olymp Winery,482₽,482₽,Тихое,Красное,Полусладкое,Россия,Краснодарский край,,Olymp Winery,,,Красные сорта винограда,,10% - 12%,6,16-18,,,,,,
0.75,Poliziano,3 210₽,3 210₽,Тихое,Красное,Сухое,Италия,Тоскана,Rosso di Montepulciano DOC,Poliziano,DOC/DOP,,СанджовезеМерло,Бочка,13.5%,6,16-18,,Organic,,,,
0.75,GWS,1 254₽,1 568₽,Тихое,Красное,Полусладкое,Грузия,Кахетия,Киндзмараули ЗГУ,GWS,ЗГУ,,Саперави,Бочка,11%,6,14-16,,,,Киндзмараули,,
0.75,Colle Belvedere,3 162₽,3 953₽,Тихое,Красное,Сухое,Италия,Пьемонт,Barbaresco DOCG,Colle Belvedere,DOCG,,Неббиоло,Бочка,14%,6,16-18,,,,Альба,,
0.75,Gaja,14 279₽,14 279₽,Тихое,Белое,Сухое,Италия,Сицилия,Sicilia DOC,Gaja,DOC/DOP,,Карриканте,Бочка,12.5%,6,10-12,,,2022,,,
0.375,Stefan Potzinger,3 954₽,3 954₽,Тихое,Белое,Сладкое,Австрия,Штирия,Sudsteiermark DAC,Stefan Potzinger,DAC,,Пино бланМускатВельшрислинг,Бочка,9.2%,6,8-10,Vegan,,2017,,,
0.75,Alfredo Maestro,2 856₽,3 570₽,Тихое,Белое,Сухое,Испания,,,Alfredo Maestro,,Alfredo MaestroLovamor,Альбильо,Стальной чан,14%,6,8-10,,,,,,
0.75,Pascal Prunier-Bonheur,12 115₽,12 115₽,Тихое,Красное,Сухое,Франция,Бургундия,Auxey-Duresses 1er Cru AOC,Pascal Prunier-Bonheur,AOC/AOP,,Пино нуар,Бочка,13.5%,6,14-16,,,2020,Кот де Бон,,
0.75,Golan Heights,3 403₽,3 403₽,Тихое,Красное,Сухое,Израиль,,,Golan Heights,,,Каберне совиньон,Бочка,14.5%,6,16-18,,,,,,
0.75,Vallone,2 135₽,2 669₽,Тихое,Красное,Полусухое,Италия,Апулия,Salento IGT,Vallone,IGT/IGP,,Негроамаро,Бочка,18%,6,16-18,,,,Саленто,,
0.75,Vina Bouchon,847₽,1 210₽,,Белое,Сухое,Чили,Центральная долина,Central Valley DO,Vina Bouchon,DO,,Совиньон блан,,12.5%,6,10-12,VeganSustainable,Organic,2023,,,
0.75,Clos Figueras,3 351₽,4 189₽,Тихое,Красное,Сухое,Испания,Приорат,Priorat DOQ,Clos Figueras,DOQ,Serras del PrioratClos Figueras,ГренашКариньянСираКаберне совиньон,Бочка,15%,6,16-18,,,,,,
0.75,Natale Verga,780₽,975₽,Тихое,Белое,Сухое,Италия,,,Natale Verga,,,Пино бланГарганега,Стальной чан,10.5%,6,8-10,,,,,,
0.75,Stiegelmar,2 116₽,2 116₽,Тихое,Красное,Сухое,Австрия,Бургенланд,,Stiegelmar,,,Блауфранкиш,Бочка,13%,6,16-18,,,,,,
0.75,Gaja,24 026₽,24 026₽,Тихое,Красное,Сухое,Италия,Тоскана,Brunello di Montalcino DOCG,Gaja,DOCG,,Санджовезе,Бочка,14.5%,6,16-18,,,2018,,,
0.75,La Scolca,2 790₽,2 790₽,Тихое,Белое,Сухое,Италия,Пьемонт,Gavi DOCG,La Scolca,DOCG,La ScolcaValentino,Кортезе,Стальной чан,,6,8-10,,,,Гави,,
0.75,,1 636₽,1 636₽,Тихое,Розовое,Сухое,Италия,Венето,Delle Venezie DOC,Villa Degli Olmi,DOC/DOP,Gatto Matto,Пино гриджо,,11.5%,6,10-12,,,2023,,,
0.75,,5 249₽,5 249₽,Тихое,Красное,Сухое,Армения,Араратская долина,,Tierras de Armenia,,Karas,Арени,,13.5%,6,16-18,,,2021,,,
0.75,,1 818₽,1 818₽,Тихое,Красное,Сухое,Испания,Мурсия,Jumilla DO,Bodegas Alceño,DO,,Монастрель,,13%,6,14-16,Vegan,,,Хумилья,,
0.75,Ferraris,2 094₽,2 618₽,Тихое,Красное,Сухое,Италия,Пьемонт,Ruchè di Castagnole Monferrato DOCG,Ferraris,DOCG,Sant Eufemia,Руке,Стальной чан,14%,6,16-18,,,,,,
0.75,,415₽,415₽,,Красное,Сухое,Россия,Краснодарский край,Кубань. Таманский полуостров ЗГУ,Кубань-Вино,ЗГУ,,Каберне совиньон,,12%,,14-16,,,2021,,,
0.75,Bodega San Telmo,1 070₽,1 528₽,Тихое,Белое,Сухое,Аргентина,Мендоса,,Bodega San Telmo,,San Telmo,Торронтес,,13%,6,8-10,,,2022,,,
0.75,Antinori,2 034₽,2 542₽,Тихое,Белое,Сухое,Италия,Тоскана,Toscana IGT,Antinori,,Villa AntinoriAntinori,Пино бланПино гриджоТреббьяноМальвазияРислинг,Стальной чан,12%,12,8-10,,,,,,
0.5,Ximenez-Spinola,4 150₽,5 187₽,Тихое,Белое,Сладкое,Испания,Андалусия,Jerez DO,Ximenez-Spinola,DO,,Педро хименес,Бочка,13%,6,8-10,,,,Херес,,
0.75,Chateau Clerc Milon,13 332₽,13 332₽,Тихое,Красное,Сухое,Франция,Бордо,Pauillac AOC,Chateau Clerc Milon,AOC/AOP,Chateau Clerc Milon,Каберне совиньонМерлоКаберне франПти вердоКарменер,Бочка,13.5%,6,16-18,,,2015,Пойяк,,
0.75,GWS,1 922₽,2 403₽,Тихое,Красное,Сухое,Грузия,Кахетия,,GWS,,,Саперави,Бочка,13.5%,6,16-18,,,,Напареули,,
0.75,Bodegas Canopy,1 809₽,2 261₽,Тихое,Красное,Сухое,Испания,Кастилия-Ла-Манча,Mentrida DO,Bodegas Canopy,DO,CanopyCastillo de Belarfonso,Гарнача,Бочка,,6,16-18,,,,,,
0.187,J. P. Chenet,402₽,503₽,Тихое,Красное,Полусухое,Франция,Лангедок-Руссийон,Pays d'Oc IGP,J. P. Chenet,IGT/IGP,,Каберне совиньонСира,Стальной чан,13%,6,16-18,,,,,,
0.75,Fanagoria,604₽,1 098₽,,Красное,Сухое,Россия,Краснодарский край,Кубань. Таманский полуостров ЗГУ,Fanagoria,ЗГУ,,Пино нуар,,,,14-16,,,2022,,,
0.75,Kavaklidere,1 880₽,2 350₽,Тихое,Красное,Сухое,Турция,Эгейское побережье,,Kavaklidere,,,Сира,Бочка,14.5%,12,16-18,,,2020,,,
0.75,SAN.foods,1 999₽,2 499₽,Тихое,Красное,Сухое,Япония,,,SAN.foods,,,Мускат бейли А,Стальной чан,12%,12,16-18,,,,,,
0.75,Pascal Prunier-Bonheur,12 115₽,12 115₽,Тихое,Красное,Сухое,Франция,Бургундия,Auxey-Duresses 1er Cru AOC,Pascal Prunier-Bonheur,AOC/AOP,,Пино нуар,Бочка,13%,12,14-16,,,2021,Кот де Бон,,
1.5,Petrolo,62 350₽,62 350₽,Тихое,Красное,Сухое,Италия,Тоскана,Toscana IGT,Petrolo,IGT/IGP,,Мерло,Бочка,,1,16-18,,Organic,2017,,,
0.75,,5 632₽,5 632₽,Тихое,Красное,Сухое,Италия,Пьемонт,Barbera d'Alba DOC,Marchesi di Barolo,DOC/DOP,,БарбераНеббиоло,Бочка,13.5%,6,16-18,,,2022,Альба,,
0.75,Olymp Winery,433₽,618₽,,Красное,Сухое,Россия,Краснодарский край,Кубань ЗГУ,Olymp Winery,ЗГУ,Adagum,Саперави,,10% - 12%,6,16-18,,,,Кубань,,
0.75,,2 402₽,2 402₽,Тихое,Красное,Полусухое,Италия,Венето,Veneto IGT,Botter,IGT/IGP,Gran Passione,МерлоКорвина веронезе,Бочка,14%,6,16-18,,,2020,,,
0.75,Vinos Aurelio Garcia,5 017₽,5 017₽,Тихое,Красное,Сухое,Испания,Кастилия и Леон,,Vinos Aurelio Garcia,,,Гарнача,Бочка,14.5%,6,16-18,Sustainable,Natural/raw,2020,Сьерра де Гредос,,
0.75,,1 455₽,1 455₽,Тихое,Розовое,Полусухое,Португалия,,,Casa da Fonte Pequena,,Fonte,ЛоурейруТрежадураАринту,,10.5%,6,8-10,,,,,,
0.75,Josmeyer,3 998₽,4 998₽,Тихое,Белое,Полусухое,Франция,Эльзас,Alsace AOC,Josmeyer,AOC/AOP,Alsace,Гевюрцтраминер,Стальной чан,13%,6,8-10,,,,,,
0.75,,1 085₽,1 085₽,Тихое,Белое,Полусладкое,Германия,Райнхессен,Rheinhessen QbA,Schmitt Sohne,,Schmitt Sohne Liebfraumilch,РислингМюллер-тургау,,10%,6,8-10,,,2022,,,
0.75,Дом Захарьиных,1 062₽,1 328₽,Тихое,Розовое,Сухое,Россия,Крым,Крым ЗГУ,Дом Захарьиных,ЗГУ,,КокурКефесия,Стальной чан,11%,6,10-12,,,,,,
0.75,Chateau D’issan,19 900₽,19 900₽,Тихое,Красное,Сухое,Франция,Бордо,Margaux AOC,Chateau D’issan,AOC/AOP,,Каберне совиньонМерло,,13%,12,16-18,,,2017,Марго,,
1.5,Allegrini,17 158₽,17 158₽,Тихое,Красное,Сухое,Италия,Венето,Veronese IGT,Allegrini,IGT/IGP,,Корвина веронезеОзелета,Бочка,14%,6,16-18,Sustainable,,2020,,,Да
0.75,Sportoletti,2 094₽,2 618₽,Тихое,Белое,Сухое,Италия,Умбрия,Umbria IGT,Sportoletti,IGT/IGP,,ГрекеттоШардоне,Бочка,,6,8-10,,,,,,
0.75,Olymp Winery,454₽,454₽,,Красное,Сухое,Россия,Краснодарский край,,Olymp Winery,,Terrapetra,Красные сорта винограда,,10% - 12%,"6, 12",16-18,,,,,,
0.75,Castel Sallegg,2 525₽,3 156₽,Тихое,Белое,Сухое,Италия,Трентино-Альто-Адидже,Alto-Adige DOC,Castel Sallegg,DOC/DOP,Castel Sallegg,Москато джалло,Стальной чан,,6,8-10,,,,Альто Адидже,,
0.75,Golan Heights,3 142₽,3 142₽,Тихое,Красное,Сухое,Израиль,,,Golan Heights,,,Пино нуар,Бочка,12.5%,6,14-16,,,,,,
0.75,Citra,972₽,972₽,,Белое,Сухое,Италия,Абруццо,Terre di Chieti IGT,Citra,IGT/IGP,,Пино гриджо,,12.5%,7,10-12,Sustainable,,2021,,,
0.75,J. P. Chenet,1 261₽,1 576₽,Тихое,Розовое,Полусухое,Франция,Лангедок-Руссийон,Pays d'Oc IGP,J. P. Chenet,IGT/IGP,,ГренашСенсо,Стальной чан,12% - 12.5%,6,10-12,,,,,,
0.75,Tinazzi,695₽,869₽,Тихое,Белое,Сухое,Италия,,,Tinazzi,,,Белые сорта винограда,Стальной чан,10.5%,6,10-12,,,,,,
0.75,,4 666₽,4 666₽,Тихое,Красное,Полусухое,Италия,Венето,Valpolicella Ripasso DOC,Cesari,DOC/DOP,,Корвина веронезеРондинеллаНеграра,Бочка,13.5%,6,16-18,,,2020,Вальполичелла,,
0.75,Tolaini,6 430₽,6 430₽,Тихое,Красное,Сухое,Италия,Тоскана,Toscana IGT,Tolaini,IGT/IGP,,СанджовезеМерлоКаберне совиньон,Бочка,14%,6,16-18,,Organic,2018,,,
0.75,Domaines Ott*,5 990₽,5 990₽,Тихое,Розовое,Сухое,Франция,Прованс,Cotes de Provence AOС,Domaines Ott*,AOC/AOP,,ГренашСенсоСира,Стальной чан,,6,8-10,,,,Кот де Прованс,,
0.75,Рем Акчурин,1 760₽,2 200₽,Тихое,Красное,Сухое,Россия,Крым,,Рем Акчурин,,Рем Акчурин,Каберне совиньон,Бочка,13.5%,6,16-18,,,,,,
0.75,Bellene,10 472₽,10 472₽,Тихое,Красное,Сухое,Франция,Бургундия,Saint Romain AOC,Bellene,AOC/AOP,Domaine de Bellene,Пино нуар,Бочка,13.5%,6,14-16,Sustainable,Biodynamic,2020,Сен Ромэн,,
0.75,Дом Захарьиных,566₽,707₽,Тихое,Белое,Сухое,Россия,Крым,Крым ЗГУ,Дом Захарьиных,ЗГУ,,Совиньон блан,Стальной чан,12%,6,10-12,,,,,,
0.75,Askaneli,3 500₽,3 500₽,Тихое,Красное,Полусладкое,Грузия,Рача,Хванчкара,Askaneli,,,АлександроулиМуджуретули,Стальной чан,12.5%,12,16-18,,,2023,,,
0.75,,1 710₽,1 710₽,Тихое,Красное,Сухое,Армения,Вайоц Дзор,,Getnatoun Winery,,,Арени,Бочка,12%,9,12-14,,,,,,
0.75,Maison Riviere,5 046₽,6 307₽,Тихое,Красное,Сухое,Франция,Бордо,Margaux AOC,Maison Riviere,AOC/AOP,Maison RiviereChateau Mongravey,Каберне совиньонМерлоКаберне фран,Бочка,,6,16-18,,,,Марго,,
0.75,Olymp Winery,459₽,459₽,,Красное,Сухое,Россия,Краснодарский край,,Olymp Winery,,,Саперави,,11% - 13%,6,14-16,,,,,,
0.75,Secondo Marco,3 427₽,4 284₽,Тихое,Красное,Сухое,Италия,Венето,Valpolicella Ripasso DOC,Secondo Marco,DOC/DOP,,КорвинаКорвинонеРондинеллаМолинара,Бочка,13.00% - 14%,6,16-18,,,,Вальполичелла,,
0.75,Heredad de Baroja,1 114₽,1 392₽,Тихое,Красное,Сухое,Испания,Риоха,Rioja DOCa,Heredad de Baroja,DOCa,,Темпранильо,Бочка,13.5%,6,16-18,,,,,,
0.75,,828₽,828₽,,Красное,Сухое,Чили,Центральная долина,Central Valley DO,Viña del Pedregal,DO,,Каберне совиньонМерло,,12.5%,12,16-18,,,2022,,,
0.75,Olymp Winery,434₽,434₽,Тихое,Красное,Полусладкое,Россия,Краснодарский край,,Olymp Winery,,El Torito Feliz,МолдоваМерлоКаберне совиньон,,10% - 12%,6,16-18,,,,,,
0.75,Le Cret de Bine,5 816₽,5 816₽,Тихое,Красное,Сухое,Франция,Бургундия,Beaujolais АОС,Le Cret de Bine,AOC/AOP,,Гаме,,12.5%,6,14-16,Sustainable,Biodynamic,2021,Божоле,,
0.75,Liakou Winery,1 546₽,1 933₽,Тихое,Красное,Сладкое,Греция,Фессалия,Meteora PGI,Liakou Winery,PGI,,Каберне совиньонСира,Бочка,14.5%,6,16-18,,,,Метеора,,
0.75,,8 691₽,8 691₽,Тихое,Красное,Сухое,Германия,Рейнгау,Rheingau QbA,Kaufmann,,,Пино нуар,Бочка,13%,6,14-16,,Biodynamic,2021,,,
3,Olymp Winery,1 277₽,1 277₽,,Красное,Сухое,Россия,,,Olymp Winery,,,МерлоКаберне совиньон,,10% - 12%,6,14-16,,,,,,
0.75,,2 900₽,2 900₽,Тихое,Белое,Сухое,Новая Зеландия,Мальборо,Marlborough,Spring Creek Vintners,,Taka,Совиньон блан,Стальной чан,13%,6,10-12,,,2022,,,
0.75,Domaine Chatelain,4 238₽,4 238₽,Тихое,Белое,Сухое,Франция,Долина Луары,Pouilly-Fumé AOC,Domaine Chatelain,AOC/AOP,,Совиньон блан,Стальной чан,12.5%,6,8-10,,,,Пюйи-Фюме,,
0.75,,1 217₽,1 739₽,Тихое,Белое,Сухое,ЮАР,Брид Ривер,Robertson Valley WO,Goedverwacht Family Wines,WO,,Коломбар,,12.5%,6,8-10,,,2023,Робертсон,,
0.75,Domaine Denis Carre,13 990₽,13 990₽,Тихое,Красное,Сухое,Франция,Бургундия,Pommard AOC,Domaine Denis Carre,AOC/AOP,,Пино нуар,Бочка,13.5%,12,16-18,,Organic,2020,Поммар,,
0.75,,12 900₽,12 900₽,Тихое,Красное,Сухое,Франция,Бордо,Pauillac AOC,Chateau Haut-Bages Liberal,AOC/AOP,,Каберне совиньонМерло,Бочка,13%,12,16-18,,,2018,Пойяк,,
0.5,Fanagoria,826₽,1 502₽,Тихое,Белое,Сладкое,Россия,Краснодарский край,,Fanagoria,,,Мускат оттонельМускат голодриги,,12%,6,6-8,,,2022,,,
0.75,,471₽,471₽,,Красное,Сухое,Грузия,,,GVMT Group,,,Саперави,,11% - 13%,6,14-16,,,2020,,,
0.75,Cono Sur,1 120₽,1 400₽,Тихое,Розовое,Сухое,Чили,Центральная долина,,Cono Sur,,Cono SurBicicleta,Пино нуар,Стальной чан,12%,6,10-12,,,,,,
0.75,Vercoope,1 544₽,1 544₽,Тихое,Белое,Полусухое,Португалия,Минью,Minho IGP,Vercoope,IGT/IGP,Pavao,Альваринью,Стальной чан,12%,,8-10,,,,,,
0.75,Turk,2 349₽,2 936₽,Тихое,Белое,Сухое,Австрия,Нижняя Австрия,Kremstal DAC,Turk,DAC,,Грюнер вельтлинер,Стальной чан,11.5%,6,10-12,,,,Кремшталь,,
0.75,Chateau Pedesclaux,12 672₽,12 672₽,Тихое,Красное,Сухое,Франция,Бордо,Pauillac AOC,Chateau Pedesclaux,AOC/AOP,Chateau Pedesclaux,Каберне совиньонМерло,Бочка,14%,6,16-18,,,2014,Пойяк,,
0.75,Valdemar,1 809₽,2 261₽,Тихое,Красное,Сухое,Испания,Кастилия и Леон,Ribera del Duero DO,Valdemar,DO,Fincas Valdemacuco,Темпранильо,Бочка,,6,16-18,,,,Рибера дель Дуэро,,
0.75,Лефкадия,3 490₽,3 490₽,Тихое,Красное,Сухое,Россия,Краснодарский край,Кубань. Крымск ЗГУ,Лефкадия,ЗГУ,,Каберне совиньонМальбекШиразКрасностоп,Бочка,14%,6,16-18,,,,,,
0.75,,2 338₽,2 338₽,Тихое,Белое,Полусухое,Италия,Венето,Delle Venezie DOC,Botter,DOC/DOP,,Пино гриджо,,12%,6,10-12,,Organic,2022,,,
0.75,J. P. Chenet,1 261₽,1 576₽,Тихое,Красное,Полусладкое,Франция,Лангедок-Руссийон,,J. P. Chenet,,,ГренашКариньянСира,Стальной чан,12.5% - 13%,6,16-18,,,,,,
0.75,,2 968₽,2 968₽,Тихое,Белое,Полусухое,Испания,Арагон,Somontano DO,Bodega Pireneos,DO,,Гевюрцтраминер,,13.5%,6,8-10,,,2023,,,
0.75,,1 334₽,1 906₽,Тихое,Белое,Сухое,Германия,Райнхессен,Rheinhessen QbA,Einig-Zenzen,QbA,,Мюллер-тургау,Стальной чан,11.5%,6,10-12,,,2021,,,
0.75,Bibi Graetz,89 900₽,89 900₽,Тихое,Красное,Сухое,Италия,Тоскана,Toscana IGT,Bibi Graetz,IGT/IGP,,CанджовезеКолориноКанайоло,Бочка,14%,3,16-18,,,2003,,,
0.75,Pascal Prunier-Bonheur,16 410₽,16 410₽,Тихое,Красное,Сухое,Франция,Бургундия,Pommard AOC,Pascal Prunier-Bonheur,AOC/AOP,,Пино нуар,Бочка,13%,12,14-16,,,2021,Поммар,,
0.75,Piccini,1 198₽,1 497₽,Тихое,Белое,Сухое,Италия,,,Piccini,,4 Volte 25,ВионьеШардонеВерментиноПекорино,Стальной чан,,6,8-10,,,,,,
0.75,Loco Cimbali,1 640₽,1 640₽,Тихое,Белое,Сухое,Россия,Крым,Крым ЗГУ,Loco Cimbali,ЗГУ,,Рислинг,Бочка,13%,6,10-12,,,,,,
0.75,Barba,1 809₽,2 261₽,Тихое,Красное,Сухое,Италия,Абруццо,Montepulciano d'Abruzzo DOC,Barba,DOC/DOP,I VasariBarba,Монтепульчано,Бочка,13.5%,6,16-18,,,,,,
0.75,Castel Mimi,713₽,891₽,Тихое,Розовое,Сухое,Молдавия,,,Castel Mimi,,,Пино нуарСаперавиРара нягра,Стальной чан,12.5%,6,10-12,,,,,,
0.75,Casa Vinicola Caldirola,738₽,923₽,Тихое,Красное,Сухое,Италия,Кампанья,Aglianico Beneventano IGT,Casa Vinicola Caldirola,IGT/IGP,,Альянико,Стальной чан,12.5%,6,16-18,,,,,,
0.75,Maison Riviere,3 927₽,3 927₽,Тихое,Красное,Сухое,Франция,Бордо,Saint-Emilion Grand Cru AOC,Maison Riviere,AOC/AOP,Clos de MenutsMaison Riviere,МерлоКаберне совиньонКаберне фран,Бочка,13%,6,16-18,,,,Сент-Эмильон,,
0.75,,3 987₽,3 987₽,Тихое,Белое,Сухое,Италия,Тоскана,Maremma Toscana DOC,Tenuta Sassoregale,DOC/DOP,,Верментино,Стальной чан,13.5%,6,8-10,Sustainable,Organic,2022,Маремма,,
0.75,Castillo Perelada,3 998₽,4 998₽,Тихое,Красное,Сухое,Испания,Каталония,Emporda DO,Castillo Perelada,DO,Castillo Perelada,Кариньян,Бочка,,6,16-18,,,,,,
0.75,Nederburg,1 140₽,1 140₽,Тихое,Белое,Полусухое,ЮАР,Коустал Риджн,Coastal Region WO,Nederburg,WO,,Совиньон бланШенен бланШардонеКоломбар,Стальной чан,13%,6,10-12,,,,,,
0.75,Olymp Winery,539₽,539₽,,Красное,Сухое,Россия,,,Olymp Winery,,,Бастардо,,10% - 12%,12,16-18,,,,,,
0.75,,1 350₽,1 350₽,Тихое,Красное,Полусухое,Австралия,Юго-Восточная Австралия,,Hardy’s,,,Шираз,,12.5%,6,16-18,,,2021,,,
0.75,Kautz Vineyards,2 567₽,2 567₽,Тихое,Красное,Сухое,США,Калифорния,California,Kautz Vineyards,,,Пино нуар,,13.5%,12,14-16,,,2020,,,
0.75,Castel Mimi,713₽,891₽,Тихое,Красное,Сухое,Молдавия,,,Castel Mimi,,,Пино нуар,Стальной чан,14.5%,6,16-18,,,,,,
0.75,,2 243₽,2 243₽,Тихое,Белое,Сухое,Испания,Арагон,Somontano DO,Bodega Pireneos,DO,,ШардонеГевюрцтраминер,,13.5%,6,8-10,,,2022,,,
0.75,Colterenzio,2 490₽,2 490₽,Тихое,Розовое,Сухое,Италия,Трентино-Альто-Адидже,Vigneti Delle Dolomiti IGT,Colterenzio,IGT/IGP,PfeffererColterenzio,Пино нуарМерлоМускат,Стальной чан,12%,6,8-10,,,,Альто Адидже,,
0.75,Aveleda,1 337₽,1 337₽,Тихое,Белое,Полусухое,Португалия,Минью,Vinho Verde DOC,Aveleda,DOC/DOP,AveledaCasal Garcia,ТрежадураЛоурейруАринтуАзаль бранко,Стальной чан,9.5%,6,8-10,,,,Винью Верде,,
0.75,Blasons de Bourgogne,8 630₽,10 787₽,Тихое,Красное,Сухое,Франция,Бургундия,Gevrey Chambertin AOC,Blasons de Bourgogne,AOC/AOP,,Пино нуар,Бочка,13.5%,6,16-18,,,2021,Жевре-Шамбертен,,
1.5,Усадьба Маркотх,7 290₽,7 290₽,Тихое,Красное,Сухое,Россия,Краснодарский край,Кубань. Геленджик ЗГУ,Усадьба Маркотх,ЗГУ,,Марселан,Бочка,13%,3,16-18,,,,Кубань,,
0.75,Bindi Sergardi,3 207₽,4 009₽,Тихое,Красное,Сухое,Италия,Тоскана,Chianti Classico DOCG,Bindi Sergardi,DOCG,Bindi SergardiSer Gardo,Санджовезе,Бочка,13.5%,6,16-18,,,,Кьянти,,
0.75,Corte Giara,4 767₽,4 767₽,Тихое,Красное,Полусухое,Италия,Венето,Valpolicella Ripasso DOC,Corte Giara,DOC/DOP,,Корвина веронезеРондинелла,Бочка,13.5%,6,14-16,,,2021,,,
