Объем,Бренд,Цена со скидкой,Цена,Тип вина,Цвет,Сахар,Страна производителя,Регион,Аппелласьон,Производитель,Категория,Сорт винограда,Выдержка в ёмкости,Содержание алкоголя,Температура подачи,Friendly,BiO,Винтаж,Подарочная упаковка
0.75,Массандра,639.0,799.0,Креплёное,Красное,Сладкое,Россия,Крым,Крым ЗГУ,Массандра,ЗГУ,Алеатико,Бочка,16.0,17.0,0,0,unknown,0
0.75,Bodegas Nekeas,1642.0,2053.0,Тихое,Красное,Сухое,Испания,Наварра,Navarra DO,Bodegas Nekeas,DO,Гарнача,Бочка,14.5,17.0,0,0,unknown,0
0.75,Chateau Pichon Bellevue,1917.0,1917.0,Тихое,Красное,Сухое,Франция,Бордо,Bordeaux AOC,Chateau Pichon Bellevue,AOC/AOP,МерлоКаберне совиньон,Цементная емкость,12.914653243847875,17.0,0,0,2021,0
0.75,Cono Sur,1190.0,1488.0,Тихое,Красное,Сухое,Чили,Центральная долина,unknown,Cono Sur,unknown,Пино нуар,Бочка,13.5,17.0,0,0,unknown,0
5.0,Terralsole,76290.0,95362.0,Тихое,Красное,Сухое,Италия,Тоскана,Brunello di Montalcino DOCG,Terralsole,DOCG,Санджовезе,Бочка,14.0,17.0,0,0,< 2011,0
0.75,unknown,1593.0,1593.0,Тихое,Красное,Полусухое,Италия,Апулия,Puglia IGT,Contri Spumanti,IGT/IGP,Негроамаро,Стальной чан,12.5,17.0,0,0,2021,0
0.75,Costador,3522.0,4403.0,Тихое,Красное,Сухое,Испания,Каталония,Conca de Barbera DO,Costador,DO,Сумоль негре,Амфора,13.0,17.0,0,0,unknown,0
0.75,Santa Monica,1275.0,1822.0,Тихое,Розовое,Полусладкое,США,Калифорния,unknown,Santa Monica,unknown,Зинфандель,Бочка,10.5,9.0,0,0,unknown,0
0.75,Mazzei,1986.0,2482.0,Тихое,Красное,Сухое,Италия,Сицилия,Noto DOC,Mazzei,unknown,Неро д'авола,Бочка,12.914653243847875,17.0,0,0,unknown,0
0.75,Cantina de Mogoro,1762.0,2202.0,Тихое,Красное,Сухое,Италия,Сардиния,Cannonau di Sardegna DOC,Cantina de Mogoro,DOC/DOP,Каннонау,Стальной чан,12.914653243847875,17.0,0,0,unknown,0
0.75,unknown,32382.0,32382.0,Тихое,Красное,Сухое,Франция,Бургундия,Morey-Saint-Denis 1er Cru AOC,Domaine Taupenot-Merme,AOC/AOP,Пино нуар,Бочка,13.5,15.0,0,1,< 2011,0
0.75,Castel Sallegg,2736.0,3420.0,Тихое,Белое,Сухое,Италия,Трентино-Альто-Адидже,Alto-Adige DOC,Castel Sallegg,DOC/DOP,Гевюрцтраминер,Стальной чан,12.914653243847875,9.0,0,0,unknown,0
0.75,Olymp Winery,502.0,502.0,Тихое,Белое,Сухое,Россия,unknown,unknown,Olymp Winery,unknown,Совиньон блан,unknown,11.0,11.0,0,0,unknown,0
0.75,Chateau de Talu,2054.0,2568.0,Тихое,Красное,Сухое,Россия,Краснодарский край,Кубань. Геленджик ЗГУ,Chateau de Talu,ЗГУ,Каберне фран,Бочка,14.0,17.0,0,0,unknown,0
0.75,Corte Giara,2596.0,2596.0,Тихое,Белое,Сухое,Италия,Венето,Veneto IGT,Corte Giara,IGT/IGP,Шардоне,Стальной чан,13.0,9.0,0,0,2022,0
1.5,Галицкий и Галицкий,8490.0,8490.0,Тихое,Красное,Сухое,Россия,Краснодарский край,Кубань ЗГУ,Галицкий и Галицкий,ЗГУ,Каберне совиньонМерлоЦимлянский черныйСираКрасностоп,Бочка,13.0,17.0,0,0,unknown,0
0.75,unknown,2046.0,2046.0,Тихое,Белое,Сухое,Армения,Араратская долина,unknown,Tierras de Armenia,unknown,Мускат,Стальной чан,12.0,11.0,0,0,2023,0
0.75,Piccini,1275.0,1594.0,Тихое,Белое,Сухое,Италия,Тоскана,Toscana IGT,Piccini,IGT/IGP,ШардонеТреббьяноСовиньон блан,Стальной чан,13.0,11.0,0,0,unknown,0
0.75,Jermann,13138.0,13138.0,Тихое,Белое,Сухое,Италия,Фриули-Венеция-Джулия,Venezia Giulia IGT,Jermann,IGT/IGP,ШардонеСовиньон бланРиболла джаллаМальвазияПиколит,unknown,13.5,11.0,0,0,unknown,0
0.75,unknown,3634.0,3634.0,Тихое,Белое,Сухое,Италия,Венето,Piave DOC,Italo Cescon,DOC/DOP,Шардоне,Стальной чан,12.0,7.0,0,1,2022,0
0.75,Шумринка,1240.0,1240.0,Тихое,Красное,Сухое,Россия,Краснодарский край,Кубань. Анапа ЗГУ,Шумринка,ЗГУ,Сира,Стальной чан,15.0,17.0,0,0,unknown,0
0.75,unknown,62610.0,62610.0,Тихое,Красное,Сухое,Чили,Центральная долина,Puente Alto DO,Almaviva,DO,Каберне совиньонКарменерКаберне франПти вердо,Бочка,15.0,17.0,0,0,2020,0
0.75,J. P. Chenet,1261.0,1576.0,Тихое,Красное,Полусухое,Франция,Лангедок-Руссийон,Pays d'Oc IGP,J. P. Chenet,IGT/IGP,Каберне совиньонСира,Стальной чан,13.0,17.0,0,0,unknown,0
0.75,Bindi Sergardi,2106.0,2632.0,Тихое,Белое,Сухое,Италия,Тоскана,Toscana IGT,Bindi Sergardi,IGT/IGP,Мальвазия бьянкаТреббьяноШардоне,Стальной чан,12.5,11.0,0,0,unknown,0
0.75,Bonacchi,829.0,1036.0,Тихое,Красное,Сухое,Италия,Тоскана,Chianti Classico DOCG,Bonacchi,DOCG,Санджовезе,Бочка,13.0,17.0,0,0,unknown,0
0.75,Fattoria Selvapiana,11647.0,11647.0,Тихое,Красное,Сухое,Италия,Тоскана,Chianti DOCG,Fattoria Selvapiana,DOCG,Санджовезе,Бочка,14.0,17.0,0,0,2018,0
0.75,unknown,2951.0,2951.0,Тихое,Белое,Сухое,Франция,Бургундия,Bourgogne AOC,Lugny L’aurore,AOC/AOP,Шардоне,unknown,13.0,9.0,0,0,2022,0
0.75,Batono,4312.0,4312.0,Тихое,Белое,Сухое,Грузия,Кахетия,unknown,Batono,unknown,Хихви,Квеври,13.5,13.0,0,0,2020,0
0.75,Domaine Charly Nicolle,5590.0,6987.0,Тихое,Белое,Сухое,Франция,Бургундия,Chablis Premier Cru AOC,Domaine Charly Nicolle,AOC/AOP,Шардоне,Стальной чан,13.0,9.0,0,0,unknown,0
0.75,Interfin,530.0,663.0,Тихое,Белое,Сухое,Россия,Крым,unknown,Interfin,unknown,Рислинг,Стальной чан,11.5,11.0,0,0,unknown,0
0.75,unknown,3093.0,5624.0,Тихое,Красное,Сухое,Россия,Крым,Крым ЗГУ,Сатера,ЗГУ,Санджовезе,Бочка,13.0,17.0,0,0,2020,0
0.75,unknown,5990.0,5990.0,Тихое,Красное,Сухое,Италия,Тоскана,Toscana IGT,Ornellaia,IGT/IGP,МерлоСанджовезеКаберне совиньон,Бочка,14.0,17.0,0,0,2021,0
0.75,Andreas Oster Weinkellerei,2239.0,2239.0,Тихое,Белое,Сухое,Германия,Райнхессен,Rheinhessen QbA,Andreas Oster Weinkellerei,unknown,Совиньон блан,Стальной чан,12.0,11.0,0,0,2022,0
0.75,unknown,91195.0,91195.0,Тихое,Красное,Сухое,Франция,Бордо,Saint-Julien AOС,Chateau Leoville Las Cases,AOC/AOP,Каберне совиньонМерлоКаберне фран,Бочка,13.0,17.0,0,0,< 2011,0
0.75,Gurpegui,1290.0,1290.0,Тихое,Красное,Сухое,Испания,Эстремадура,Ribera del Guadiana DO,Gurpegui,DO,Гарнача,Стальной чан,13.0,17.0,0,0,2021,0
0.75,Fanagoria,1071.0,1947.0,Тихое,Белое,Сухое,Россия,Кубань,Кубань. Таманский полуостров ЗГУ,Fanagoria,ЗГУ,Совиньон блан,Стальной чан,12.914653243847875,11.0,0,0,2022,0
3.0,Olymp Winery,1220.0,1220.0,Тихое,Белое,Сухое,Россия,unknown,unknown,Olymp Winery,unknown,Первенец магарачаБианка,unknown,11.0,11.0,0,0,unknown,0
0.75,Overhex Wines International,762.0,952.0,Тихое,Белое,Полусухое,ЮАР,Западный Кейп,unknown,Overhex Wines International,unknown,Шенен блан,Стальной чан,12.5,11.0,0,0,unknown,0
1.5,Petrolo,62350.0,62350.0,Тихое,Красное,Сухое,Италия,Тоскана,Toscana IGT,Petrolo,IGT/IGP,Мерло,Бочка,12.914653243847875,17.0,0,1,2017,0
0.75,Luigi Bosca,1740.0,1740.0,Тихое,Белое,Сухое,Аргентина,Мендоса,Mendoza,Luigi Bosca,unknown,Торронтес,Стальной чан,12.9,11.0,0,0,2023,0
0.75,Albert Bichot,6664.0,8330.0,Тихое,Красное,Сухое,Франция,Бургундия,Chassagne Montrachet AOC,Albert Bichot,AOC/AOP,Пино нуар,Бочка,13.5,15.0,0,0,unknown,0
0.75,Belmas Winery,3054.0,5553.0,Тихое,Белое,Сухое,Россия,Крым,unknown,Belmas Winery,unknown,Рислинг рейнский,Стальной чан,12.5,11.0,0,0,2021,0
0.75,Terralsole,5420.0,6775.0,Тихое,Красное,Сухое,Италия,Тоскана,Toscana IGT,Terralsole,IGT/IGP,Сира,Бочка,14.0,17.0,0,0,< 2011,0
0.75,Zimmermann-Graeff & Muller,1090.0,1557.0,Тихое,Красное,Полусладкое,Германия,unknown,unknown,Zimmermann-Graeff & Muller,unknown,ТролленбергШпетбургундер,Стальной чан,9.5,15.0,0,0,unknown,0
0.75,Лефкадия,1490.0,1490.0,Тихое,Красное,Сухое,Россия,Краснодарский край,Кубань. Крымск ЗГУ,Лефкадия,ЗГУ,Пти вердоКаберне франСиарМерлоКаберне совиньон,Бочка,14.0,17.0,0,0,unknown,0
0.75,unknown,3433.0,3433.0,Тихое,Красное,Сухое,Франция,Бордо,Bordeaux Superieur AOС,Chateau de Parenchere,AOC/AOP,МерлоКаберне совиньонКаберне фран,Цементная емкость,13.5,17.0,0,0,2019,0
0.75,Sierra Norte,1368.0,1710.0,Тихое,Красное,Сухое,Испания,Мурсия,Jumilla DO,Sierra Norte,DO,Монастрель,Бочка,12.914653243847875,17.0,0,1,unknown,0
0.75,Olymp Winery,429.0,613.0,Тихое,Красное,Сухое,Россия,Краснодарский край,unknown,Olymp Winery,unknown,Саперави,unknown,11.0,17.0,0,0,unknown,0
0.75,Les Jamelles,1805.0,1805.0,Тихое,Красное,Сухое,Франция,Лангедок-Руссийон,Pays d'Oc IGP,Les Jamelles,IGT/IGP,Мальбек,Бочка,13.0,17.0,0,0,unknown,0
0.75,unknown,2577.0,2577.0,Тихое,Белое,Полусухое,Италия,Венето,Delle Venezie DOC,Cesari,DOC/DOP,Пино гриджо,Стальной чан,12.5,9.0,0,0,2022,0
0.75,Farnese,2513.0,3141.0,Тихое,Красное,Полусухое,Италия,Кампанья,Aglianico Beneventano IGT,Farnese,IGT/IGP,Альянико,Бочка,13.0,17.0,0,0,unknown,0
0.75,Origin Wine Stellenbosh,706.0,706.0,Тихое,Белое,Сухое,ЮАР,Западный Кейп,Western Cape WO,Origin Wine Stellenbosh,WO,Совиньон блан,Стальной чан,12.0,11.0,0,0,2022,0
0.75,unknown,377.0,471.0,Тихое,Белое,Сухое,Россия,Краснодарский край,Кубань. Новороссийск ЗГУ,Мысхако,ЗГУ,ШардонеАлиготе,Стальной чан,12.5,11.0,0,0,unknown,0
0.75,Cannis,1209.0,1727.0,Тихое,Красное,Полусухое,Германия,Пфальц,Pfalz QbA,Cannis,QbA,Дорнфельдер,unknown,11.5,17.0,0,0,2021,0
0.75,Arrocal,1895.0,2369.0,Тихое,Красное,Сухое,Испания,Рибера дель Дуэро,Ribera del Duero DO,Arrocal,DO,Темпранильо,Бочка,14.0,17.0,0,0,unknown,0
0.75,GWS,1546.0,1932.0,Тихое,Белое,Сухое,Грузия,Кахетия,unknown,GWS,unknown,Киси,Бочка,12.5,9.0,0,0,unknown,0
0.75,Neleman,1224.0,1530.0,Тихое,Красное,Сухое,Испания,Каталония,Valencia DO,Neleman,DO,Марселан,Бочка,12.914653243847875,17.0,0,1,unknown,0
0.75,unknown,695.0,993.0,Тихое,Красное,Полусухое,Аргентина,Мендоса,unknown,Andean Vineyards,unknown,МальбекКаберне совиньон,unknown,12.5,15.0,0,0,2022,0
0.75,unknown,1640.0,1640.0,Тихое,Белое,Сухое,Испания,Риоха,Rioja DOCa,Criadores de Rioja,DOCa,ВиураТемпранильо бланко,Стальной чан,12.0,9.0,0,0,2018,0
0.75,unknown,7020.0,7020.0,Тихое,Красное,Сухое,Италия,Тоскана,Toscana IGT,Il Borro,IGT/IGP,СираСанджовезе,Бочка,14.0,17.0,0,1,2019,0
0.75,Marchand-Tawse,10900.0,10900.0,Тихое,Красное,Сухое,Франция,Бургундия,Savigny-les-Beaune AOC,Marchand-Tawse,AOC/AOP,Пино нуар,Бочка,13.5,15.0,0,1,2020,0
0.75,unknown,8029.0,8029.0,Тихое,Белое,Сухое,Германия,Рейнгау,Rheingau QbA,J.B. Becker,QbA,Рислинг,Бочка,12.0,7.0,0,1,2013,0
0.75,Askaneli,2445.0,2445.0,Тихое,Красное,Сухое,Грузия,Кахетия,Мукузани,Askaneli,unknown,Саперави,unknown,13.0,17.0,0,0,2019,0
0.75,unknown,2020.0,2020.0,Тихое,Красное,Сухое,Италия,Тоскана,Chianti DOCG,Uggiano,DOCG,СанджовезеКанайоло,Стальной чан,12.5,17.0,0,0,2022,0
0.75,Caves Campelo,946.0,1182.0,Тихое,Розовое,Сухое,Португалия,Винью Верде,Vinho Verde DOC,Caves Campelo,DOC/DOP,ЭшпадейруСузаоАзаль тинто,Стальной чан,10.0,11.0,0,0,unknown,0
0.75,Au Pied du Mont Chauve,8883.0,8883.0,Тихое,Красное,Сухое,Франция,Бургундия,Saint-Aubin 1er Cru AOC,Au Pied du Mont Chauve,AOC/AOP,Пино нуар,Бочка,14.0,15.0,0,0,unknown,0
0.75,unknown,816.0,1020.0,Тихое,Белое,Сухое,Россия,Краснодарский край,Кубань. Новороссийск ЗГУ,Мысхако,ЗГУ,Шардоне,Бочка,13.0,11.0,0,0,unknown,0
0.75,Venica & Venica,13617.0,13617.0,Тихое,Белое,Сухое,Италия,Фриули-Венеция-Джулия,Collio DOC,Venica & Venica,DOC/DOP,Совиньон блан,Бочка,13.5,11.0,0,0,2022,0
0.75,Overhex Wines International,1890.0,2363.0,Тихое,Белое,Сухое,ЮАР,Западный Кейп,Stellenbosch WO,Overhex Wines International,WO,ШардонеСемильонВионье,Бочка,14.0,11.0,0,0,unknown,0
0.75,Kakhetian Traditional Winemaking,2798.0,2798.0,Тихое,Красное,Полусладкое,Грузия,Кахетия,Хванчкара,Kakhetian Traditional Winemaking,unknown,АлександроулиМуджуретули,unknown,11.5,17.0,0,0,unknown,0
0.75,Chateau Le Gay,31413.0,31413.0,Тихое,Красное,Сухое,Франция,Бордо,Pomerol AOC,Chateau Le Gay,AOC/AOP,МерлоКаберне фран,Бочка,12.914653243847875,17.0,0,0,2016,0
0.75,Дербентский коньячный комбинат,270.0,338.0,Тихое,Красное,Сухое,Россия,Дагестан,Дагестан ЗГУ,Дербентский коньячный комбинат,ЗГУ,Саперави,Стальной чан,13.5,17.0,0,0,unknown,0
0.75,Allegrini,5704.0,5704.0,Тихое,Красное,Сухое,Италия,Венето,Veronese IGT,Allegrini,IGT/IGP,Корвина веронезеКорвинонеРондинеллаСанджовезе,Бочка,13.5,17.0,1,0,2020,0
0.75,Alma Valley,1228.0,1535.0,Тихое,Красное,Сухое,Россия,Крым,Крым ЗГУ,Alma Valley,ЗГУ,Шираз,Бочка,14.25,17.0,0,0,unknown,0
0.75,unknown,143277.0,143277.0,Тихое,Красное,Сухое,Франция,Бордо,Saint-Emilion Grand Cru AOC,Chateau Angelus,AOC/AOP,МерлоКаберне фран,Бочка,14.0,17.0,0,0,2017,0
0.75,unknown,4800.0,4800.0,Тихое,Белое,Сухое,Германия,Рейнгау,Rheingau QbA,Kaufmann,QbA,Рислинг,Стальной чан,12.5,9.0,0,1,2022,0
0.75,unknown,726.0,726.0,Тихое,Красное,Сухое,Италия,Абруццо,Terre di Chieti IGT,Madonna dei Miracoli,IGT/IGP,Сира,unknown,12.914653243847875,17.0,0,0,2019,0
0.75,unknown,3179.0,3179.0,Тихое,Красное,Сухое,Испания,Риоха,Rioja DOCa,Beronia,DOCa,ТемпранильоГарначаМасуэло,Бочка,13.5,17.0,0,0,2020,0
0.75,unknown,252.0,315.0,Тихое,Белое,Полусладкое,Россия,Краснодарский край,unknown,Долина,unknown,Совиньон бланВиорика,Стальной чан,10.0,11.0,0,0,unknown,0
0.75,Celine & Frederic Gueguen,9959.0,9959.0,Тихое,Белое,Сухое,Франция,Бургундия,Chablis 1er Cru AOС,Celine & Frederic Gueguen,AOC/AOP,Шардоне,Стальной чан,12.5,11.0,0,1,2022,0
0.75,Kalos Limen,2856.0,2856.0,Тихое,Красное,Сухое,Россия,Крым,unknown,Kalos Limen,unknown,МерлоКаберне совиньон,Стальной чан,12.5,17.0,0,0,2021,0
0.75,The Big Insult Wine Company,948.0,948.0,Тихое,Красное,Сухое,Австралия,Юго-Восточная Австралия,South Eastern Australia GI,The Big Insult Wine Company,GI,Шираз,unknown,13.0,17.0,0,0,2020,0
0.75,Tinazzi,1394.0,1743.0,Тихое,Белое,Сухое,Италия,Венето,Soave DOC,Tinazzi,DOC/DOP,ГарганегаТреббьяно ди соаве,Стальной чан,13.0,11.0,0,0,unknown,0
0.75,Steinschaden,2565.0,2565.0,Тихое,Белое,Полусухое,Австрия,Нижняя Австрия,Niederosterreich,Steinschaden,unknown,Вельшрислинг,Стальной чан,12.5,9.0,0,0,2023,0
0.75,Albert Bichot,3237.0,4046.0,Тихое,Красное,Сухое,Франция,Бургундия,Bourgogne AOC,Albert Bichot,AOC/AOP,Пино нуар,Бочка,12.5,15.0,0,0,unknown,0
0.75,unknown,28651.0,28651.0,Тихое,Красное,Сухое,Италия,Тоскана,Brunello di Montalcino DOCG,La Cerbaiola,DOCG,Санджовезе,Бутылка,14.0,17.0,0,0,2018,0
0.75,Массандра,626.0,783.0,Креплёное,Красное,Сладкое,Россия,Крым,Крым ЗГУ,Массандра,ЗГУ,Каберне совиньон,Бочка,18.5,17.0,0,0,unknown,0
0.75,Campo Viejo,3270.0,3270.0,Тихое,Красное,Сухое,Испания,Риоха,Rioja DOCa,Campo Viejo,DOCa,ТемпранильоГрасианоМасуэло,unknown,12.914653243847875,17.0,0,0,2014,0
0.75,Cantina Orsogna,2044.0,2555.0,Тихое,Белое,Сухое,Италия,Абруццо,Terre di Chieti IGT,Cantina Orsogna,IGT/IGP,Пино гриджо,Стальной чан,12.75,9.0,0,1,unknown,0
0.75,Planeta,1726.0,2157.0,Тихое,Белое,Сухое,Италия,Сицилия,Sicilia DOC,Planeta,DOC/DOP,Грилло,Стальной чан,12.5,11.0,0,0,unknown,0
0.75,Allan Scott,1934.0,2417.0,Тихое,Белое,Сухое,Новая Зеландия,Мальборо,Marlborough,Allan Scott,unknown,Совиньон блан,Стальной чан,12.5,9.0,0,0,unknown,0
0.75,Origin Wine Stellenbosh,655.0,655.0,Тихое,Белое,Сухое,ЮАР,Западный Кейп,Western Cape WO,Origin Wine Stellenbosh,WO,Шенен блан,Стальной чан,12.0,9.0,1,0,2022,0
0.75,El Esteco,1095.0,1369.0,Тихое,Белое,Сухое,Аргентина,unknown,unknown,El Esteco,unknown,Торронтес,Стальной чан,13.5,9.0,0,0,unknown,0
0.75,Off-Piste Wines,1490.0,1862.0,Тихое,Белое,Сухое,Новая Зеландия,unknown,Marlborough,Off-Piste Wines,unknown,Совиньон блан,Стальной чан,13.0,11.0,0,0,unknown,0
0.7,Olymp Winery,420.0,420.0,Тихое,Белое,Полусладкое,Россия,Краснодарский край,unknown,Olymp Winery,unknown,Первенец магарачаБианкаШардоне,unknown,11.0,11.0,0,0,unknown,0
0.75,unknown,10083.0,10083.0,Тихое,Красное,Сухое,Франция,Бургундия,Maranges AOC,Domaine De La Choupette,AOC/AOP,Пино нуар,Бочка,13.0,17.0,0,0,2022,0
0.75,Olymp Winery,580.0,580.0,Тихое,Красное,Сухое,Россия,Краснодарский край,Кубань ЗГУ,Olymp Winery,ЗГУ,Каберне совиньон,unknown,11.5,15.0,0,0,unknown,0
0.75,Domaine de Malandes,4385.0,4385.0,Тихое,Белое,Сухое,Франция,Бургундия,Chablis AOС,Domaine de Malandes,AOC/AOP,Шардоне,Стальной чан,12.5,9.0,0,0,unknown,0
1.5,Querciabella,11974.0,11974.0,Тихое,Красное,Сухое,Италия,Тоскана,Chianti Classico DOCG,Querciabella,DOCG,Санджовезе,Бочка,14.0,17.0,0,0,unknown,1
0.75,Olymp Winery,539.0,539.0,Тихое,Красное,Сухое,Россия,unknown,unknown,Olymp Winery,unknown,Каберне совиньон,unknown,11.0,17.0,0,0,unknown,0
0.75,Bodegas Aragonesas,1801.0,1801.0,Тихое,Красное,Сухое,Испания,Арагон,Campo de Borja DO,Bodegas Aragonesas,DO,ГарначаТемпранильо,Бочка,14.0,17.0,0,0,unknown,0
0.75,Luis Felipe Edwards,617.0,771.0,Тихое,Белое,Сухое,Чили,Центральная долина,Central Valley DO,Luis Felipe Edwards,DO,Шардоне,Стальной чан,13.0,11.0,0,0,unknown,0
0.75,unknown,1027.0,1467.0,Тихое,Красное,Сухое,Франция,unknown,unknown,Les Chais de Saint Andre,unknown,БобальТемпранильоКариньян,unknown,11.0,15.0,0,0,2021,0
0.75,Corte Moschina,1632.0,2040.0,Тихое,Красное,Сухое,Италия,Венето,Valpolicella DOC,Corte Moschina,DOC/DOP,КорвинаКорвинонеРондинелла,Стальной чан,13.0,17.0,0,1,unknown,0
0.75,Angelo Rocca е Figli,1682.0,2102.0,Тихое,Красное,Полусухое,Италия,Пьемонт,Piemonte DOC,Angelo Rocca e Figli,DOC/DOP,ДольчеттоБарбера,Стальной чан,14.0,17.0,0,0,unknown,0
1.0,Vino Zupa,629.0,629.0,Тихое,Белое,Полусладкое,Сербия,unknown,unknown,Vino Zupa,unknown,Рислинг итальянскийСмедеревкаЖуплянка,unknown,10.5,9.0,0,0,unknown,0
0.75,Cantina Tollo,1218.0,1522.0,Тихое,Красное,Сухое,Италия,Абруццо,Montepulciano d'Abruzzo DOC,Cantina Tollo,DOC/DOP,Монтепульчано,Стальной чан,13.0,17.0,0,0,unknown,0
0.75,Gaja,28274.0,28274.0,Тихое,Красное,Сухое,Италия,Тоскана,Bolgheri DOC,Gaja,DOC/DOP,Каберне совиньонКаберне фран,Бочка,13.75,17.0,0,0,unknown,0
0.75,unknown,806.0,1152.0,Тихое,Красное,Сухое,Франция,unknown,unknown,Les Chais de Saint Andre,unknown,Красные сорта винограда,unknown,11.0,15.0,0,0,unknown,0
0.75,Chateau Cantemerle,9990.0,9990.0,Тихое,Красное,Сухое,Франция,Бордо,Haut-Médoc AOC,Chateau Cantemerle,AOC/AOP,Каберне совиньонМерлоКаберне франПти вердо,Бочка,13.0,17.0,0,0,2013,0
0.75,Apollonio,2761.0,3451.0,Тихое,Красное,Сухое,Италия,Апулия,Salento IGT,Apollonio,IGT/IGP,НегроамароПримитиво,Бочка,12.914653243847875,17.0,0,0,unknown,0
0.75,Luis Felipe Edwards,653.0,816.0,Тихое,Белое,Сухое,Чили,Центральная долина,Central Valley DO,Luis Felipe Edwards,DO,Совиньон блан,Стальной чан,12.5,11.0,0,0,unknown,0
0.75,Sainte Neige,6318.0,7897.0,Тихое,Белое,Сухое,Япония,unknown,unknown,Sainte Neige,unknown,Шардоне,Стальной чан,12.5,11.0,0,0,unknown,0
0.75,Joseph Phelps,89990.0,89990.0,Тихое,Красное,Сухое,США,Калифорния,Napa Valley AVA,Joseph Phelps,AVA,Каберне совиньонПти вердоМальбек,Бочка,14.5,17.0,0,0,2019,0
1.5,Jermann,27370.0,27370.0,Тихое,Белое,Сухое,Италия,Фриули-Венеция-Джулия,Venezia Giulia IGT,Jermann,IGT/IGP,ШардонеСовиньон бланРиболла джаллаМальвазияПиколит,unknown,13.5,11.0,0,0,2017,0
0.75,Matsu,1819.0,2274.0,Тихое,Красное,Сухое,Испания,Кастилия и Леон,Toro DO,Matsu,DO,Темпранильо,Стальной чан,14.5,17.0,0,0,unknown,0
0.7,Olymp Winery,419.0,419.0,Тихое,Белое,Сухое,Россия,unknown,unknown,Olymp Winery,unknown,РкацителиПервенец магарача,unknown,11.0,11.0,0,0,unknown,0
0.75,Виноградники Гай-Кодзора,1233.0,1233.0,Тихое,Красное,Сухое,Россия,Краснодарский край,unknown,Виноградники Гай-Кодзора,unknown,Пино нуар,Бочка,14.0,17.0,0,0,unknown,0
0.187,Olymp Winery,208.0,208.0,Тихое,Белое,Сухое,Россия,Краснодарский край,unknown,Olymp Winery,unknown,Ркацители,unknown,11.0,11.0,0,0,unknown,0
0.75,Дербент Вино,453.0,823.0,Тихое,Красное,Полусладкое,Россия,Дагестан,Дагестан ЗГУ,Дербент Вино,ЗГУ,МерлоКаберне совиньонМолдова,unknown,11.0,15.0,0,0,2022,0
0.75,unknown,4325.0,4325.0,Тихое,Красное,Сухое,Италия,Тоскана,Toscana IGT,Avignonesi,IGT/IGP,Каберне совиньонСанджовезеМерло,Бочка,13.5,15.0,1,1,2019,0
0.75,Marziano Abbona,2094.0,2618.0,Тихое,Красное,Сухое,Италия,Пьемонт,Dogliani DOCG,Marziano Abbona,DOCG,Дольчетто,Стальной чан,12.914653243847875,17.0,0,0,unknown,0
0.75,Pascal Prunier-Bonheur,11002.0,11002.0,Тихое,Белое,Сухое,Франция,Бургундия,Auxey-Duresses AOC,Pascal Prunier-Bonheur,AOC/AOP,Шардоне,Бочка,13.5,11.0,0,0,2020,0
0.75,Vinovalie,2888.0,2888.0,Тихое,Белое,Сухое,Франция,unknown,Comte Tolosan IGP,Vinovalie,IGT/IGP,Шардоне,unknown,13.0,9.0,0,0,2020,0
0.75,Kaapzicht,2495.0,2495.0,Тихое,Красное,Полусухое,ЮАР,Западный Кейп,Stellenbosch WO,Kaapzicht,WO,ПинотажМерлоШиразКаберне совиньонМальбекПти вердоКаберне франСенсоГренаш,unknown,14.0,17.0,0,0,2020,0
0.75,Bodegas del Saz,718.0,898.0,Тихое,Розовое,Полусладкое,Испания,Кастилия-Ла-Манча,unknown,Bodegas del Saz,unknown,Темпранильо,Стальной чан,10.5,11.0,0,0,unknown,0
0.75,Loco Cimbali,1640.0,1640.0,Тихое,Красное,Сухое,Россия,Крым,Крым ЗГУ,Loco Cimbali,ЗГУ,Менье,Бочка,12.5,15.0,0,0,unknown,0
0.75,Mooiplaas Wine Estate,1041.0,1301.0,Тихое,Красное,Сухое,ЮАР,Западный Кейп,Western Cape WO,Mooiplaas Wine Estate,WO,Мерло,Бочка,14.0,17.0,0,0,unknown,0
0.75,Faustino,1261.0,1576.0,Тихое,Розовое,Сухое,Испания,Риоха,Rioja DOCa,Faustino,DOCa,Темпранильо,Стальной чан,12.5,11.0,0,0,unknown,0
0.75,Manuel Costa e Filhos,831.0,1039.0,Тихое,Розовое,Полусухое,Португалия,Винью Верде,Vinho Verde DOC,Manuel Costa e Filhos,DOC/DOP,БорракалВиньяуЭшпадейру,Стальной чан,9.5,9.0,0,0,unknown,0
0.75,Gaja,53474.0,53474.0,Тихое,Красное,Сухое,Италия,Тоскана,Brunello di Montalcino DOCG,Gaja,DOCG,Санджовезе,Бочка,14.5,17.0,0,0,2018,0
0.75,Albino Armani,2244.0,2805.0,Тихое,Красное,Сухое,Италия,Венето,Valpolicella DOC,Albino Armani,DOC/DOP,КорвинаКорвинонеРондинелла,Бочка,13.5,17.0,0,0,unknown,0
0.75,Heinrich Fuchs,2959.0,2959.0,Тихое,Белое,Сухое,Австрия,Штирия,Steiermark,Heinrich Fuchs,unknown,Совиньон блан,unknown,13.0,9.0,0,0,2022,0
