Объем,Бренд,Цена со скидкой,Цена,Тип вина,Цвет,Сахар,Страна производителя,Регион,Аппелласьон,Производитель,Категория,Сорт винограда,Выдержка в ёмкости,Содержание алкоголя,Температура подачи,Friendly,BiO,Винтаж,Подарочная упаковка
0.75,Bodegas Muga,2808.0,2808.0,Тихое,Красное,Сухое,Испания,Риоха,Rioja DOCa,Bodegas Muga,DOCa,ТемпранильоГарнача,Бочка,14.0,15.0,0,0,unknown,0
0.75,Antigal,828.0,1035.0,Тихое,Белое,Сухое,Аргентина,Мендоса,Mendoza,Antigal,unknown,Шардоне,Стальной чан,12.55,11.0,0,0,unknown,0
0.75,Chateau Pinot,580.0,725.0,Тихое,Красное,Сухое,Россия,Краснодарский край,Кубань. Новороссийск ЗГУ,Chateau Pinot,ЗГУ,Каберне франКаберне совиньон,Стальной чан,13.5,17.0,0,0,unknown,0
0.75,Лефкадия,2490.0,2490.0,Тихое,Красное,Сухое,Россия,Краснодарский край,Кубань. Крымск ЗГУ,Лефкадия,ЗГУ,Каберне фран,Бочка,13.5,17.0,0,0,unknown,0
0.75,Angelo Rocca е Figli,983.0,1229.0,Тихое,Белое,Сухое,Италия,Апулия,Puglia IGT,Angelo Rocca e Figli,IGT/IGP,Вердека,Стальной чан,12.5,11.0,0,0,unknown,0
0.75,Chateau Mukhrani,2432.0,3040.0,Тихое,Белое,Сухое,Грузия,Квемо-Картли,unknown,Chateau Mukhrani,unknown,Горули мцване,Стальной чан,12.5,11.0,0,0,unknown,0
0.75,Catena Zapata,2880.0,2880.0,Тихое,Красное,Сухое,Аргентина,Мендоса,Mendoza,Catena Zapata,unknown,Каберне совиньонКаберне франПти вердо,Бочка,13.5,17.0,0,0,unknown,0
0.75,Бурлюк,710.0,887.0,Тихое,Розовое,Полусладкое,Россия,Крым,unknown,Бурлюк,unknown,Мускат оттонельМускат гамбургский,Стальной чан,11.0,9.0,0,0,unknown,0
0.75,Olymp Winery,429.0,613.0,Тихое,Белое,Сухое,Россия,Краснодарский край,unknown,Olymp Winery,unknown,Цитронный магарача,unknown,11.0,11.0,0,0,unknown,0
0.75,Albino Armani,2377.0,2971.0,Тихое,Белое,Сухое,Италия,Трентино-Альто-Адидже,Trentino DOC,Albino Armani,DOC/DOP,Гевюрцтраминер,Стальной чан,12.5,11.0,0,0,unknown,0
0.75,Ehrmanns Wines,1059.0,1324.0,Тихое,Розовое,Сухое,Аргентина,Мендоса,Mendoza,Ehrmanns Wines,unknown,Мальбек,Стальной чан,12.0,11.0,0,0,unknown,0
0.75,Piccini,1198.0,1497.0,Тихое,Красное,Сухое,Италия,unknown,unknown,Piccini,unknown,ПримитивоНеро д'аволаМонтепульчаноМерло,Бочка,14.0,17.0,0,0,unknown,0
0.18,Sainte Neige,503.0,629.0,Тихое,Белое,Сладкое,Япония,unknown,unknown,Sainte Neige,unknown,Виноматериалы плодовые сброженные из плодов юдзуСок юдзу,unknown,7.0,11.0,0,0,unknown,0
0.75,Alma Valley,805.0,1006.0,Тихое,Белое,Сухое,Россия,Крым,Крым ЗГУ,Alma Valley,ЗГУ,ШардонеПино бланПино гри,Стальной чан,14.0,9.0,0,0,unknown,0
0.75,Dopff & Irion,2821.0,2821.0,Тихое,Белое,Сухое,Франция,Эльзас,Alsace AOC,Dopff & Irion,AOC/AOP,Рислинг,Стальной чан,11.5,9.0,0,0,unknown,0
0.75,Catena Zapata,21277.0,21277.0,Тихое,Красное,Сухое,Аргентина,Мендоса,Mendoza,Catena Zapata,unknown,Мальбек,Бочка,13.5,17.0,0,0,unknown,0
0.75,Olymp Winery,502.0,502.0,Тихое,Красное,Полусладкое,Россия,unknown,unknown,Olymp Winery,unknown,Саперави,unknown,11.0,17.0,0,0,unknown,0
1.0,Vino Zupa,646.0,646.0,Тихое,Красное,Сухое,Сербия,unknown,unknown,Vino Zupa,unknown,Вранац,unknown,11.0,15.0,0,0,unknown,0
0.75,Chateau l'Eglise,1706.0,1706.0,Тихое,Красное,Сухое,Франция,Бордо,Bordeaux AOC,Chateau l'Eglise,AOC/AOP,Каберне совиньонКаберне франМерло,Стальной чан,12.5,17.0,0,0,unknown,0
0.75,Шумринка,890.0,890.0,Тихое,Белое,Сухое,Россия,Краснодарский край,Кубань. Анапа ЗГУ,Шумринка,ЗГУ,АлиготеМальвазияПино бланРислинг,Стальной чан,12.0,9.0,0,0,unknown,0
1.0,Felix Solis,884.0,884.0,Тихое,Белое,Сухое,Испания,unknown,unknown,Felix Solis,unknown,Айрен,unknown,11.0,9.0,0,0,unknown,0
0.75,Weinkellerei Hechtsheim,1440.0,1440.0,Тихое,Белое,Полусладкое,Германия,Райнхессен,unknown,Weinkellerei Hechtsheim,unknown,Гевюрцтраминер,Стальной чан,12.914653243847875,9.0,0,0,unknown,0
0.75,Olymp Winery,539.0,539.0,Тихое,Красное,Сухое,Россия,unknown,unknown,Olymp Winery,unknown,Бастардо,unknown,11.0,17.0,0,0,unknown,0
0.75,Golan Heights,6414.0,6414.0,Тихое,Белое,Сухое,Израиль,Галилея,unknown,Golan Heights,unknown,Шардоне,Бочка,14.5,11.0,0,0,unknown,0
0.75,Delicato,2311.0,2889.0,Тихое,Красное,Сухое,США,Калифорния,unknown,Delicato,unknown,Зинфандель,Бочка,14.5,17.0,0,0,unknown,0
0.75,Inama,3427.0,4284.0,Тихое,Красное,Сухое,Италия,Венето,Veneto IGT,Inama,IGT/IGP,КарменерМерло,Бочка,12.914653243847875,17.0,0,0,unknown,0
0.25,Off-Piste Wines,320.0,400.0,Тихое,Белое,Сухое,ЮАР,Западный Кейп,unknown,Off-Piste Wines,unknown,Совиньон блан,Стальной чан,12.5,11.0,0,0,unknown,0
0.75,Jermann,4909.0,4909.0,Тихое,Белое,Сухое,Италия,Фриули-Венеция-Джулия,Venezia Giulia IGT,Jermann,IGT/IGP,Совиньон блан,Стальной чан,13.0,9.0,0,0,unknown,0
0.75,Bodegas del Saz,1121.0,1401.0,Тихое,Красное,Сухое,Испания,Кастилия-Ла-Манча,La Mancha DO,Bodegas del Saz,DO,Темпранильо,Бочка,13.5,17.0,0,0,unknown,0
0.187,J. P. Chenet,342.0,427.0,Тихое,Розовое,Полусухое,Франция,Лангедок-Руссийон,Pays d'Oc IGP,J. P. Chenet,IGT/IGP,ГренашСенсо,Стальной чан,12.5,11.0,0,0,unknown,0
0.75,unknown,816.0,1020.0,Тихое,Белое,Сухое,Россия,Ростовская область,Долина Дона ЗГУ,Винодельня Ведерниковъ,ЗГУ,Сибирьковый,Стальной чан,12.0,11.0,0,0,unknown,0
0.75,Массандра,566.0,707.0,Креплёное,Белое,Сухое,Россия,Крым,Крым ЗГУ,Массандра,ЗГУ,АлиготеАльбильоКокур,Бочка,16.0,9.0,0,0,unknown,0
0.75,Массандра,450.0,562.0,Креплёное,Розовое,Сладкое,Россия,Крым,Крым ЗГУ,Массандра,ЗГУ,Белые сорта виноградаКрасные сорта винограда,Стальной чан,17.0,9.0,0,0,unknown,0
0.75,Angelo Rocca е Figli,1680.0,2100.0,Тихое,Красное,Сухое,Италия,Апулия,Puglia IGT,Angelo Rocca e Figli,IGT/IGP,Примитиво,Бочка,13.5,17.0,0,0,unknown,0
0.75,Cono Sur,702.0,877.0,Тихое,Розовое,Полусухое,Чили,Центральная долина,Central Valley DO,Cono Sur,DO,Каберне совиньон,Стальной чан,12.5,11.0,0,0,unknown,0
0.75,Benanti,2951.0,3689.0,Тихое,Белое,Сухое,Италия,Сицилия,Etna DOC,Benanti,DOC/DOP,Карриканте,Стальной чан,12.0,9.0,0,0,unknown,0
0.75,Montes,3397.0,3397.0,Тихое,Белое,Сухое,Чили,Аконкагуа,Zapallar DO,Montes,DO,Совиньон блан,Стальной чан,13.5,11.0,0,0,unknown,0
0.75,Benanti,2380.0,2975.0,Тихое,Красное,Сухое,Италия,Сицилия,Etna DOC,Benanti,DOC/DOP,Нерелло маскалезеНерелло капуччо,Стальной чан,13.5,17.0,0,0,unknown,0
0.75,Вина Арпачина,1836.0,2295.0,Тихое,Белое,Сухое,Россия,Ростовская область,Долина Дона ЗГУ,Вина Арпачина,ЗГУ,СибирьковыйПухляковскийЦимлянский черныйКумшацкий,Бочка,11.5,9.0,0,0,unknown,0
0.75,Karmen,1436.0,1436.0,Тихое,Красное,Сухое,Чили,Центральная долина,Uco Valley,Karmen,unknown,КарменерКариньян,Бочка,13.0,17.0,0,0,unknown,0
0.75,unknown,252.0,315.0,Тихое,Белое,Сухое,Россия,Краснодарский край,unknown,Долина,unknown,Рислинг,Стальной чан,11.0,11.0,0,0,unknown,0
0.75,Producta Vignobles,2400.0,3000.0,Тихое,Красное,Сухое,Франция,Бордо,Bordeaux Superieur AOС,Producta Vignobles,AOC/AOP,МерлоКаберне совиньонКаберне фран,Бочка,12.5,17.0,0,0,unknown,0
0.75,Массандра,458.0,573.0,Креплёное,Белое,Сладкое,Россия,Крым,Крым ЗГУ,Массандра,ЗГУ,Кокур,Бочка,16.0,9.0,0,0,unknown,0
0.7,Olymp Winery,470.0,470.0,Тихое,Красное,Полусладкое,Россия,Краснодарский край,unknown,Olymp Winery,unknown,МолдоваСаперавиМерло,unknown,11.0,15.0,0,0,unknown,0
